Track ID,Vehicle Class,Direction,Confidence,Number Plate
2,car,Right,0.9006678,No Plate Detected
2,car,Right,0.8898397,No Plate Detected
2,car,Right,0.8777972,No Plate Detected
2,car,Right,0.88340527,No Plate Detected
2,car,Right,0.84555566,No Plate Detected
3,car,Right,0.87710226,No Plate Detected
2,car,Right,0.8513222,No Plate Detected
3,car,Right,0.884726,No Plate Detected
2,car,Right,0.83839345,No Plate Detected
3,car,Right,0.90032053,No Plate Detected
4,car,Right,0.8498135,No Plate Detected
1,truck,Right,0.9294735,
2,car,Right,0.83953065,No Plate Detected
3,car,Right,0.8839047,No Plate Detected
4,car,Right,0.8757887,No Plate Detected
1,truck,Right,0.93143076,
2,car,Right,0.8380294,No Plate Detected
3,car,Right,0.8929294,
4,car,Right,0.8990531,No Plate Detected
1,truck,Right,0.9422636,
2,car,Right,0.8362964,No Plate Detected
3,car,Right,0.8824394,No Plate Detected
4,car,Right,0.9035554,No Plate Detected
2,car,Right,0.81918585,No Plate Detected
3,car,Right,0.86254156,No Plate Detected
4,car,Right,0.8947381,No Plate Detected
2,car,Right,0.8344693,No Plate Detected
4,car,Right,0.8961908,No Plate Detected
2,car,Right,0.8406105,No Plate Detected
4,car,Right,0.83205855,No Plate Detected
2,car,Right,0.8011714,No Plate Detected
2,car,Right,0.8135501,No Plate Detected
2,car,Right,0.80235875,No Plate Detected
2,car,Right,0.8239566,No Plate Detected
2,car,Right,0.7812315,No Plate Detected
2,car,Right,0.78775984,No Plate Detected
2,car,Right,0.82882744,No Plate Detected
2,car,Right,0.81056565,No Plate Detected
2,car,Right,0.80473024,No Plate Detected
2,car,Right,0.7818779,No Plate Detected
2,car,Right,0.79600483,No Plate Detected
2,car,Right,0.77869105,No Plate Detected
2,car,Right,0.7552702,No Plate Detected
2,car,Right,0.76409876,No Plate Detected
2,car,Right,0.6750464,No Plate Detected
2,car,Right,0.7778094,No Plate Detected
2,car,Right,0.7362582,No Plate Detected
2,car,Right,0.75417393,No Plate Detected
2,car,Right,0.7455671,No Plate Detected
2,car,Right,0.7365913,No Plate Detected
2,car,Right,0.79955226,No Plate Detected
2,car,Right,0.7029879,No Plate Detected
2,car,Right,0.742563,No Plate Detected
2,car,Right,0.79279274,No Plate Detected
2,car,Right,0.76077217,No Plate Detected
2,car,Right,0.66841197,No Plate Detected
2,car,Right,0.7234819,No Plate Detected
2,car,Right,0.654068,No Plate Detected
2,car,Right,0.62907225,No Plate Detected
7,car,Right,0.8731976,No Plate Detected
7,car,Right,0.8613872,No Plate Detected
2,car,Right,0.64432436,No Plate Detected
7,car,Right,0.89000624,No Plate Detected
2,car,Right,0.66416055,No Plate Detected
18,car,Right,0.8849264,No Plate Detected
18,car,Right,0.89087886,No Plate Detected
18,car,Right,0.88705146,No Plate Detected
13,truck,Right,0.94945717,No Plate Detected
13,truck,Right,0.94141674,No Plate Detected
13,truck,Right,0.9489439,No Plate Detected
25,car,Right,0.8804026,No Plate Detected
25,car,Right,0.8725563,No Plate Detected
25,car,Right,0.89758366,No Plate Detected
25,car,Right,0.8914814,No Plate Detected
