Track ID,Vehicle Class,Direction
1,car,Wrong,0.9094736
4,car,Wrong,0.65934265
12,car,Wrong,0.7779781
10,car,Wrong,0.5844074
41,car,Wrong,0.37884578
24,car,Wrong,0.9138173
23,car,Wrong,0.54795074
48,car,Wrong,0.8540993
62,car,Wrong,0.86219984
65,car,Wrong,0.8062161
76,car,Wrong,0.8553855
82,car,Wrong,0.7952554
85,car,Wrong,0.7686209
100,person,Wrong,0.6828631
103,motorcycle,Wrong,0.53968036
87,car,Wrong,0.8673877
89,car,Wrong,0.86718065
95,car,Wrong,0.8752202
108,car,Wrong,0.87637013
119,car,Wrong,0.73834455
