Track ID,Vehicle Class,Direction,Confidence,Number Plate
1,car,Wrong,0.9364486,[[0752 G JR
1,car,Wrong,0.9329569,L0752 G JR
3,car,Wrong,0.8617361,2835 BSY
3,car,Wrong,0.8631429,22835 BSY
5,car,Wrong,0.93396425,9079 GCH
5,car,Wrong,0.9267039,9079 CCH
6,car,Wrong,0.9076129,aa LelL CC
6,car,Wrong,0.9036343,QVA LeLLcc
8,car,Wrong,0.9250721,5553 m
8,car,Wrong,0.9197464,5553 d
9,car,Wrong,0.9224494,03574 BNI
9,car,Wrong,0.91159236,013574 BNW
10,car,Wrong,0.9282165,40262 HFP
10,car,Wrong,0.9372034,L0262 HFP
11,car,Wrong,0.9185138,8934 FHR
11,car,Wrong,0.9259763,[8934 FMR:
12,car,Wrong,0.9311754,5280 DLY
12,car,Wrong,0.93886733,5280 DLX
13,car,Wrong,0.8974282,9916 BHS
13,car,Wrong,0.89749205,9916 GHS
15,car,Wrong,0.9291173,963 JUJ
15,car,Wrong,0.9299995,47963 JWJ
16,car,Wrong,0.92184865,3092 FRX
16,car,Wrong,0.92363966,3092 FRX
17,car,Wrong,0.9355459,I4 30430F
17,car,Wrong,0.9355996,I3013dF
17,car,Wrong,0.9464826,VA J0430F
18,car,Wrong,0.94051737,1024 DRJ
18,car,Wrong,0.950112,1024 DRJ
18,car,Wrong,0.93716896,1024 DRJ
18,car,Wrong,0.9380342,1024 0RJ
18,car,Wrong,0.935784,024 DRJ
18,car,Wrong,0.9354758,DR J
18,car,Wrong,0.94003034,1024 DRJ
18,car,Wrong,0.941862,DRJ
18,car,Wrong,0.9449445,LRJ
18,car,Wrong,0.9337559,4024 DRJ
20,car,Wrong,0.9488797,8424 HGL
18,car,Wrong,0.9316957,4q24 DRJ
20,car,Wrong,0.9450825,e174HCL
18,car,Wrong,0.9099355,L0z4 @R J
18,car,Wrong,0.8682711,No Plate Detected
18,car,Wrong,0.8094229,No Plate Detected
22,car,Wrong,0.9197431,4234 DZK
22,car,Wrong,0.9191156,4234dZKI
