Track ID,Vehicle Class,Direction,Confidence,Number Plate
7,car,Right,0.7059847,No Plate Detected
7,car,Right,0.7147268,No Plate Detected
7,car,Right,0.69158137,No Plate Detected
7,car,Right,0.7142348,No Plate Detected
7,car,Right,0.7449234,No Plate Detected
7,car,Right,0.7476009,No Plate Detected
7,car,Right,0.71254075,No Plate Detected
2,car,Wrong,0.80235875,No Plate Detected
7,car,Right,0.73259443,No Plate Detected
2,car,Wrong,0.8239566,No Plate Detected
7,car,Right,0.7539853,No Plate Detected
2,car,Wrong,0.7812315,No Plate Detected
7,car,Right,0.7814178,No Plate Detected
2,car,Wrong,0.78775984,No Plate Detected
7,car,Right,0.8057917,No Plate Detected
2,car,Wrong,0.82882744,No Plate Detected
7,car,Right,0.7732253,No Plate Detected
2,car,Wrong,0.81056565,No Plate Detected
7,car,Right,0.79199076,No Plate Detected
2,car,Wrong,0.80473024,No Plate Detected
7,car,Right,0.81696385,No Plate Detected
2,car,Wrong,0.7818779,No Plate Detected
2,car,Wrong,0.79600483,No Plate Detected
18,car,Right,0.6544723,No Plate Detected
2,car,Wrong,0.77869105,No Plate Detected
18,car,Right,0.6751752,No Plate Detected
2,car,Wrong,0.7552702,No Plate Detected
18,car,Right,0.7081222,No Plate Detected
2,car,Wrong,0.76409876,No Plate Detected
18,car,Right,0.71705514,No Plate Detected
2,car,Wrong,0.6750464,No Plate Detected
18,car,Right,0.7100408,No Plate Detected
2,car,Wrong,0.7778094,No Plate Detected
17,car,Wrong,0.82471526,No Plate Detected
18,car,Right,0.7549561,No Plate Detected
2,car,Wrong,0.7362582,No Plate Detected
17,car,Wrong,0.8218329,No Plate Detected
18,car,Right,0.72858787,No Plate Detected
2,car,Wrong,0.75417393,No Plate Detected
17,car,Wrong,0.7986373,No Plate Detected
18,car,Right,0.6800216,No Plate Detected
17,car,Wrong,0.77950937,No Plate Detected
18,car,Right,0.6987646,No Plate Detected
17,car,Wrong,0.81948036,No Plate Detected
18,car,Right,0.7278774,No Plate Detected
13,truck,Right,0.7433699,No Plate Detected
17,car,Wrong,0.7985769,No Plate Detected
18,car,Right,0.7526593,No Plate Detected
13,truck,Right,0.6904994,No Plate Detected
17,car,Wrong,0.766739,No Plate Detected
18,car,Right,0.69861233,No Plate Detected
13,truck,Right,0.7826496,No Plate Detected
17,car,Wrong,0.81331074,No Plate Detected
18,car,Right,0.7342738,No Plate Detected
13,truck,Right,0.6017616,No Plate Detected
17,car,Wrong,0.8191384,No Plate Detected
18,car,Right,0.7053819,No Plate Detected
13,truck,Right,0.7539538,No Plate Detected
17,car,Wrong,0.8061891,No Plate Detected
18,car,Right,0.74333715,No Plate Detected
13,truck,Right,0.7095895,No Plate Detected
17,car,Wrong,0.7966496,No Plate Detected
18,car,Right,0.7321296,No Plate Detected
13,truck,Right,0.6902007,No Plate Detected
17,car,Wrong,0.75127983,No Plate Detected
18,car,Right,0.7107376,No Plate Detected
13,truck,Right,0.733792,No Plate Detected
17,car,Wrong,0.79518074,No Plate Detected
18,car,Right,0.73890626,No Plate Detected
13,truck,Right,0.68960977,No Plate Detected
17,car,Wrong,0.7911007,No Plate Detected
18,car,Right,0.7635688,No Plate Detected
13,truck,Right,0.7038873,No Plate Detected
17,car,Wrong,0.69491076,No Plate Detected
18,car,Right,0.7147591,No Plate Detected
13,truck,Right,0.70128375,No Plate Detected
17,car,Wrong,0.6952124,No Plate Detected
18,car,Right,0.7807207,No Plate Detected
13,truck,Right,0.6838953,No Plate Detected
18,car,Right,0.7777597,No Plate Detected
13,truck,Right,0.62437147,No Plate Detected
18,car,Right,0.77804714,No Plate Detected
13,truck,Right,0.6157228,No Plate Detected
18,car,Right,0.7552395,No Plate Detected
18,car,Right,0.7508232,No Plate Detected
13,truck,Right,0.6390016,No Plate Detected
13,truck,Right,0.6039723,No Plate Detected
13,truck,Right,0.6523029,No Plate Detected
13,truck,Right,0.7151854,No Plate Detected
13,truck,Right,0.60687804,No Plate Detected
13,truck,Right,0.7239156,No Plate Detected
13,truck,Right,0.6837411,No Plate Detected
13,truck,Right,0.66464543,No Plate Detected
13,truck,Right,0.70820254,No Plate Detected
13,truck,Right,0.67713195,No Plate Detected
13,truck,Right,0.72439355,No Plate Detected
13,truck,Right,0.76794344,No Plate Detected
13,truck,Right,0.7246016,No Plate Detected
13,truck,Right,0.7332466,No Plate Detected
36,car,Wrong,0.78648514,No Plate Detected
36,car,Wrong,0.80579954,No Plate Detected
36,car,Wrong,0.7721345,No Plate Detected
36,car,Wrong,0.7730427,No Plate Detected
36,car,Wrong,0.7713735,No Plate Detected
36,car,Wrong,0.7964012,No Plate Detected
36,car,Wrong,0.78611284,No Plate Detected
36,car,Wrong,0.75556344,No Plate Detected
36,car,Wrong,0.78710234,No Plate Detected
36,car,Wrong,0.7272572,No Plate Detected
36,car,Wrong,0.78666836,No Plate Detected
36,car,Wrong,0.70961636,No Plate Detected
36,car,Wrong,0.7611345,No Plate Detected
